  typed ident  ,typ, RA,DEC,l,b,     spec. type     ,avg
---------------,---,-----------------------------------,,-----------------------------------,,--------------------,
* lam Cru      ,Be*,193.6632607,-59.14670079,303.3449938,3.722470502,B3Vne               ,110
* mu.02 Cru    ,Be*,193.6536822,-57.1686656,303.364641,5.700415242,B5Vne               ,112
HD 22928       ,Be*,55.73126773,47.78754851,150.2834098,-5.768438451,B5III               ,113.3273903
* p Car        ,Be*,158.0060957,-61.68533231,287.1800917,-3.153897821,B4Vne               ,115.6615651
* mu. Cen      ,Be*,207.4041193,-42.47373044,314.237704,19.11723452,B2Vnpe              ,119.3233533
* chi Oph      ,Be*,246.7559791,-18.45624827,357.932803,20.67660599,B2Vne               ,122.3306013
HD 124367      ,Be*,213.7380851,-57.08612725,314.1250814,3.959558594,B4Vne               ,127
HD 192685      ,Be*,303.8162309,25.59195969,65.18762421,-5.170544118,B3V                 ,127.3246183
HD 53367       ,Ae*,106.1063837,-10.45437235,223.7091582,-1.90075057,B0IV/Ve             ,129.9638469
HD 11415       ,Be*,28.59885907,63.67010339,129.8450864,1.646573413,B3Vp_sh             ,141
HD 142184      ,Be*,238.4827668,-23.97809783,347.932467,22.5451916,B2V                 ,141
* 66 Oph       ,Be*,270.065826,4.368615635,30.99477389,13.37011038,B2Ve                ,143.982329
HD 124771      ,Be*,215.5965195,-80.10894591,306.9337859,-17.9513015,B3V                 ,144
HD 83953       ,Be*,145.3208638,-23.59151484,256.2852202,21.59961721,B5V                 ,152.3301553
HD 205637      ,Be*,324.2701278,-19.46601288,31.94221722,-44.99051381,B3V                 ,154.2702445
HD 169033      ,Be*,275.8006774,-12.01475486,19.04018877,0.690645637,B5V                 ,168.6664651
* c Per        ,Be*,62.16538399,47.71251193,153.6542498,-3.045105355,B3Ve                ,169.3276757
* psi Per      ,Be*,54.12241593,48.19263304,149.1728545,-6.089726353,B5Ve                ,171.3390614
* 16 Peg       ,Be*,328.2657011,25.92513615,80.10070229,-21.75448033,B3Ve                ,172
HD 75311       ,Be*,131.6772887,-56.76977561,273.8957112,-8.414110058,B3V(n)              ,174.66464
HD 102776      ,Be*,177.4210727,-63.78845274,296.1764842,-1.729610181,B3V                 ,184.9776489
* ups Cyg      ,Be*,319.4795292,34.89688055,80.97668733,-10.05260989,B2Vne               ,188.2908095
* bet Mon      ,** ,97.20445711,-7.03305837,216.6613724,-8.21394789,B4Ve+B2Vn(e)+B3V:nne,192.3289495
* bet01 Mon    ,Be*,97.20445713,-7.03305836,216.6613724,-8.21394788,B4Veshell           ,192.3289495
* bet Mon C    ,Em*,97.2067372,-7.0346443,216.6638268,-8.2126309,B3V:nne             ,198
HD 63215       ,Be*,116.5439384,-37.93367385,252.4535144,-6.560426585,B5V                 ,204
* bet Mon B    ,*  ,97.2059442,-7.0343986,216.6632497,-8.2132255,B2Vn(e)             ,204.6640191
HD 26356       ,Be*,67.05529883,83.80778967,128.4016828,23.40094591,B5V                 ,205
* ome CMa      ,Be*,108.7027244,-26.77266937,239.4071882,-7.152143898,B2.5Ve              ,206.2932112
* lam Pav      ,Be*,283.0543094,-62.18759232,333.6111114,-23.8736151,B2Ve                ,209.939564
HD 71510       ,Be*,126.380525,-51.72741395,267.9425669,-7.930957208,B3IV                ,214
* omi Cas      ,Be*,11.18132777,48.28436488,121.7781898,-14.57234734,B5IIIe              ,214.2886442
* lam Eri      ,Be*,77.28659645,-8.754080784,209.1402003,-26.68555968,B2III(e)p           ,214.4434315
* 11 Cam       ,Be*,76.53521819,58.97237461,150.9871633,10.79584335,B3Ve                ,217
* ups01 Pup    ,Be*,109.576639,-36.73395359,248.7797484,-10.91169039,B2V+B3IVne          ,222.9883375
* f01 Ori      ,Be*,93.01366479,16.13040596,194.1344287,-1.117964693,B5Vn                ,223.9867263
HD 38769       ,** ,87.06106168,1.609696823,204.120683,-13.26162985,F2V                 ,237.1490713
HD 110335      ,Be*,190.485701,-59.68582123,301.7322024,3.163808724,B5III               ,238
HD 171780      ,Be*,278.8062707,34.45801805,63.04275793,18.05115254,B5Ve                ,241
HD 35439       ,Be*,81.18677894,1.84644511,200.9580446,-18.28918773,B1Vn                ,259.5942365
HD 37330       ,Be*,84.47272965,0.968605648,203.4273281,-15.84168764,B5III               ,264.6616179
HD 144965      ,Be*,242.5439805,-40.12882358,339.042737,8.417438961,B3Vne               ,266
HD 157246      ,Be*,261.3485805,-56.37772633,334.6447045,-11.47857052,B1Ib                ,272.2010907
* ups02 Pup    ,Be*,109.6591097,-36.7427377,248.8171355,-10.85603889,B3Vne               ,279.3294357
HD 183537      ,Be*,292.3370726,20.27973842,55.20259321,1.179396809,B5Vn                ,288
* pi. Aqr      ,Be*,336.3192619,1.377398494,66.00671827,-44.73943722,B1III-IVe           ,289.8059142
* iot Ara      ,Be*,260.8169788,-47.46819849,342.0137135,-6.328382634,B2(V)nne            ,292.9914712
HD 58343       ,Be*,111.1674476,-16.20147202,231.087186,-0.214055768,B2Vne               ,293.6635476
HD 86612       ,Be*,149.7762663,-23.95076955,259.7704473,24.13806623,B5Ve                ,297.6392974
HD 217050      ,Be*,344.2687573,48.68406701,104.2202382,-9.988459043,B4IIIpe             ,298.3302755
* omi Pup      ,Be*,117.021535,-25.93717008,242.2460168,-0.207660093,B1IVe               ,308.600255
HD 78764       ,Be*,136.4098861,-70.53849534,286.1907622,-15.42955245,B2(IV)n             ,309.9556058
HD 152478      ,Be*,254.0368326,-50.67479198,336.7829783,-4.635985938,B3Vnpe              ,310.6657441
HD 93237       ,Be*,160.4646618,-79.78328732,297.1846674,-18.38867116,B5III               ,318
* ome Ori      ,Be*,84.79644299,4.121466521,200.7341072,-14.03217951,B3Ve                ,320.4611811
HD 209522      ,Be*,331.1531962,-26.82235909,23.57903466,-53.00606466,B4IVe               ,323.3307602
* 105 Tau      ,Be*,76.98097949,21.70481949,181.3428164,-11.08548696,B2Ve                ,325.3315895
HD 58155       ,Be*,110.7529057,-31.92377842,244.8550273,-7.896440666,B3V                 ,327.6643142
* kap01 Aps    ,Be*,232.8784188,-73.38959282,313.8530847,-14.01154421,B2Vnpe              ,328.331379
HD 21650       ,Em*,52.81532804,41.72645513,152.2568169,-11.86836088,B5                  ,332
HD 42054       ,Em*,91.76528998,-34.31202069,240.834783,-23.48380846,B5Ve                ,337
HD 174886      ,Em*,283.3103148,-10.22013125,24.01636697,-5.036892889,B3Vne               ,340.7363085
* 27 CMa       ,Be*,108.563383,-26.35250867,238.9726629,-7.073714277,B3IIIe              ,341.6147132
HD 167128      ,Be*,274.2813825,-56.02335767,338.3856523,-17.6946785,B3II/III            ,344.3128264
HD 131492      ,Be*,224.1832808,-62.78101609,316.7113055,-3.310690205,B2IV/V              ,352.0334867
HD 174237      ,Be*,281.6795373,52.98795842,82.44513058,22.03294768,B3+F5III            ,356.666203
HD 200775      ,Ae*,315.403827,68.16326945,104.0615894,14.19251342,B2Ve                ,361
* z Pup        ,Be*,113.4626752,-36.33839085,249.8536315,-7.948219486,B2Vne               ,364.9898954
HD 36012       ,Be*,82.20190431,2.164716086,201.1891444,-17.24895706,B2Vne               ,374
HD 194335      ,Be*,305.9348716,37.47644646,76.03652306,0.034884976,B2IIIe              ,377
HD 45871       ,Be*,97.16351048,-32.37127735,240.4738059,-18.58670759,B3Ve                ,378.6635958
HD 90490       ,Be*,156.317447,-58.87246033,285.001531,-1.185950444,B5Vne               ,385
HD 35165       ,Be*,80.32025034,-34.34504778,238.067256,-32.61043471,B2Vnpe              ,386.332254
HD 171406      ,Be*,278.3459945,30.89211195,59.41175422,17.11037613,B4Ve                ,388
* 19 Mon       ,bC*,105.7282361,-4.239232689,218.0122733,0.61386346,B2Vn(e)             ,388.7742483
HD 174179      ,Be*,281.9890574,31.75683604,61.47917419,14.56553104,B3IVp               ,394
HD 131168      ,Be*,223.3421517,-45.8557517,324.1009874,11.94455357,B2Ve                ,397.6658264
HD 37903       ,Em*,85.40995392,-2.259021162,206.8512476,-16.53750493,B3IV                ,401
HD 172252      ,Be*,279.9160262,-11.87862286,21.02296455,-2.816460972,B0V:e               ,401.165076
HD 66194       ,Be*,119.7106288,-60.82445982,273.9268996,-15.80497931,B3Vn                ,402.6491294
HD 62533       ,*  ,115.9460989,-18.0119848,234.8860329,2.902769716,B3Vne               ,410
HD 133495      ,Be*,226.875282,-60.77682792,318.7933628,-2.166046958,B3V(n)              ,413.1747507
HD 55271       ,Be*,107.8372228,-21.80328852,234.5895449,-5.604614137,B3Vne               ,413.3313233
HD 224559      ,Be*,359.6934963,46.41317853,113.5529695,-15.49729898,B4Vne               ,414
* 25 Cyg       ,Be*,299.9799814,37.04288747,73.07289972,3.759499757,B3IVe               ,415.2906442
HD 69404       ,Be*,123.7134987,-46.48589076,262.5754478,-6.461581094,B2Vnn               ,417
HD 168797      ,Be*,275.3683377,5.435710616,34.3902226,9.131642806,B2Vne               ,417.3312625
HD 69168       ,Be*,123.4402135,-46.57868482,262.5504311,-6.669761401,B2V                 ,419.6657654
* 6 Cep        ,Be*,319.8425844,64.87185614,102.7378596,10.68886927,B3IVe               ,425.9367811
HD 77320       ,Be*,135.0927309,-43.17399313,264.8165913,1.959352408,B2Vnn(e)            ,427.6659679
HD 129954      ,Be*,222.1856237,-66.59356183,314.2209543,-6.328050631,B2V                 ,430
HD 201733      ,Be*,317.4942978,45.50255336,87.69750656,-1.677427313,B4IVp               ,433
HD 180126      ,Be*,288.7559707,9.807618979,44.33883455,-0.711698761,Be                  ,437.99412
* sig Ori E    ,Y*O,84.6966875,-2.594587474,206.8161767,-17.32447029,B2IV-Vp_He          ,439.3302523
* 120 Tau      ,Be*,83.3817917,18.54023072,187.3900931,-7.837646547,B2IV-Ve             ,441.2811344
HD 62753       ,Be*,115.9496381,-40.30932292,254.3179225,-8.121566133,B2Vn                ,442
HD 130287      ,Be*,222.6423254,-66.2593497,314.5342536,-6.108844765,B5IV                ,444.3326244
HD 198625      ,Em*,312.4776806,46.66133747,86.28377345,1.705923702,B4Ve                ,449.6659607
HD 160319      ,Be*,265.0994755,-28.92320232,359.4102808,0.978761938,B3Vne               ,452.6659784
HD 201522      ,Be*,317.1234596,47.25704801,88.81182048,-0.298147488,B5V                 ,456
HD 161756      ,Be*,267.1159855,-26.97494506,2.002648077,0.479852078,B3Vn                ,460.6653532
* r Pup        ,Be*,123.3729883,-35.8995184,253.5765992,-0.844475297,B2ne                ,464.9345156
* 228 Eri      ,Be*,67.27885746,-13.04836999,208.7790876,-37.40290728,B2(V)ne             ,469.975113
HD 154218      ,Be*,256.4289871,-36.74052196,348.8469552,2.561137543,B3Vne               ,473
HD 58050       ,Be*,111.115203,15.51719911,202.532172,14.18921297,B2Ve                ,475.6652578
HD 105521      ,Be*,182.2274539,-41.23160299,294.3884517,20.93357476,B3IVe               ,477.9314659
HD 88661       ,Be*,152.9435787,-58.06054336,283.0813952,-1.480419829,B5Vne               ,478.9910324
HD 42406       ,Em*,92.65308971,3.871717104,204.7771028,-7.270378297,B5V                 ,480.3318702
* 60 Cyg       ,Be*,315.295535,46.15577267,87.15483149,-0.10282923,B1Ve                ,487.9737542
HD 60855       ,Be*,114.0162213,-14.49277295,230.9053763,3.015939016,B2Ve                ,489.3200059
HD 181308      ,Em*,290.0214737,-1.59635532,34.78186586,-7.101018103,B5Vnne              ,491.3318196
HD 2789        ,Be*,8.011840028,67.16113257,121.0468014,4.360383011,B3Vne               ,502
HD 159845      ,Be*,264.4784056,-24.96582613,2.469674797,3.552369328,B3III               ,502.3320554
BD+40 4353     ,*  ,313.5671653,40.83714168,82.30225116,-2.617807113,B2Ve                ,507
HD 84375       ,Be*,145.4054243,-68.50498737,286.9258282,-11.75695836,B3(III)p_sh         ,508.6656295
HD 197419      ,Be*,310.5930144,35.45619344,76.63708018,-4.177969783,B2IV-Ve             ,509
HD 67698       ,Be*,122.0806597,-23.61778741,242.6629945,4.920517364,B3Ve                ,514
HD 168957      ,Be*,275.3657077,25.0567779,52.71486028,17.35334991,B3V                 ,514.3322075
HD 91307       ,Be*,157.742585,-61.61345525,287.0355826,-3.156066639,B5V                 ,515.3323287
HD 184279      ,Be*,293.4038206,3.761331905,41.1481478,-7.619922794,B0V                 ,515.9753493
HD 13867       ,Be*,34.14999974,49.81986907,136.7274607,-10.75699086,B5IIIe              ,517.3471605
HD 178175      ,Be*,287.06959,-19.29028869,17.35469099,-12.25750863,B2Ve                ,519.2374208
HD 119423      ,Be*,206.326656,-66.75466378,308.2215393,-4.437750185,B3Vne               ,519.332316
HD 171754      ,Em*,279.3070471,-19.40499794,14.03004311,-5.709505303,B5V                 ,522.3319458
HD 61925       ,Be*,114.9916302,-37.57942326,251.540753,-7.460965775,B5IV                ,534.3317748
HD 65930       ,Be*,119.7530397,-48.3763117,262.7771601,-9.733764762,B2III/IV            ,537
HD 344313      ,Be*,291.1907139,22.7746214,56.89289082,3.302827415,B2V:pe              ,544.666393
HR 7335        ,*  ,289.7655859,33.38880875,65.79867005,9.298825116,B2IVe               ,546.331821
BD+34 113      ,*  ,11.643511,34.82882543,121.8011264,-28.03224516,B2III:e             ,547
HD 55135       ,Be*,107.836863,-10.42882648,224.4696612,-0.378008278,B3Vnne              ,547.3316056
* 8 Lac A      ,Be*,338.9678446,39.63432791,96.37554184,-16.14606884,B1IVe               ,549.6530997
HD 170235      ,Be*,277.3416075,-25.25660585,7.952261241,-6.728156914,B1Vnne              ,551.6656173
HD 48917       ,Be*,101.1186162,-31.07052282,240.5252737,-14.98036688,B2V                 ,561.2621218
HD 89884       ,Be*,155.4975037,-18.0344796,259.9944447,32.1039668,B5III               ,562.3316745
HD 170682      ,Be*,277.8508792,-19.15861953,13.62382262,-4.373030882,B5II/III            ,568.3313119
HD 56039       ,Be*,108.7496365,-11.87040835,226.1621691,-0.253040312,B5IV                ,574.3317205
HD 43122       ,Be*,93.20791119,-37.08147771,244.0954554,-23.20197643,B1Ve                ,575.6566388
HD 183362      ,Be*,291.9016513,37.94119559,70.71337128,9.790955187,B3Ve                ,580.3316364
HD 160202      ,Be*,265.0043304,-32.20106565,356.5890784,-0.69232389,B5Ve                ,593.9931176
HD 11606       ,Be*,28.9285567,59.27345019,131.0706208,-2.578833459,B2Vne               ,596.3315891
HD 205060      ,Be*,322.903802,42.70075853,88.45045402,-6.406006294,B5                  ,597.9953907
HD 208682      ,Be*,328.8791657,65.3208095,105.886841,8.44944199,B2Ve                ,598.9932675
HD 46131       ,Be*,97.6605097,-22.3218115,230.958183,-14.34672925,B3Ve                ,599.6651483
HD 124834      ,Be*,214.9890439,-73.96844587,309.0408299,-12.15583322,B3III/IV            ,601
HD 172579      ,Be*,280.7214549,-39.28567599,356.2234973,-15.24959096,B5III/IV            ,604.5368738
HD 177648      ,Be*,286.1604366,23.32928223,55.26311839,7.67304063,B2Ve                ,609.6655777
HD 44506       ,Be*,95.15099999,-34.14414312,241.6260816,-20.77705599,B3V                 ,618.6332462
HD 51354       ,Be*,104.4287607,17.90201273,197.5498842,9.40184685,B3ne                ,618.6647601
HD 187567      ,Be*,297.5728291,7.902415016,46.83117312,-9.276788585,B2IVe               ,619.6651271
HD 50938       ,Be*,103.6496162,-17.91718918,229.3189057,-7.388817196,B3Ve                ,620.994839
HD 136968      ,Be*,231.4802103,-53.77102604,324.6001857,2.472084001,B5Vne               ,621.9821054
HD 45677       ,Be*,97.07259157,-13.05309183,222.0883282,-10.97632028,B2IV/V[e]           ,624.9954909
HD 183261      ,Em*,291.9752687,20.24738228,55.0119847,1.462124361,B3II                ,629.9771462
HD 216851      ,Be*,343.9461008,43.55928954,101.7158215,-14.49697567,B3V:n               ,633.9970921
HD 162568      ,Be*,268.4149719,-42.89751728,348.7629569,-8.496655746,B3Vn(e)             ,634.6644462
HD 170835      ,Be*,278.0685009,-19.21717472,13.66580331,-4.582602895,B2Ve                ,639.6650144
HD 40978       ,Be*,91.16003785,46.58511362,166.3980591,11.95786123,B3Ve                ,640.9936993
HD 57539       ,Be*,110.3942991,-5.897193717,221.6330268,3.970097433,B3IV                ,640.9943238
BD+63 82       ,Em*,10.75532171,64.11044475,122.0131121,1.253711075,B5                  ,649.332576
HD 15238       ,Be*,37.43139484,60.67737182,134.6821524,0.067659792,B5V                 ,651.6657796
HD 169805      ,Be*,276.8000276,-18.95372281,13.34813395,-3.396866017,B2Vne               ,654.9953057
HD 85083       ,Be*,146.8917045,-58.18797642,280.6168792,-3.520342334,B5III               ,659.6649515
BD+05 4285     ,Em*,296.5564998,5.988133663,44.63903185,-9.32410001,B5                  ,661.994962
HD 153261      ,Be*,255.4474486,-58.95824838,330.6623449,-10.33460818,B2IVne              ,664.9843795
HD 153575      ,Em*,255.480602,-37.30147523,347.9404753,2.822132367,B0III/IV            ,664.9967062
HD 67341       ,Be*,121.3345973,-46.97840878,262.1156528,-8.102588034,B3III               ,666.9949501
HD 67341       ,Be*,121.3345973,-46.97840878,262.1156528,-8.102588034,B3III               ,666.9949501
HD 49131       ,Be*,101.3799527,-30.94897966,240.5001441,-14.72668893,B1.5Vne             ,667.9816784
HD 204860      ,Be*,322.5037227,45.49418322,90.16600256,-4.177101654,Be                  ,669.3319726
HD 147302      ,Be*,246.0053047,-55.45371617,329.9943177,-4.179303371,B2(III)n            ,681.6650746
HD 156831      ,Be*,260.1774381,-24.27128118,0.90505041,7.205226434,B3Vnne              ,683.6551085
HD 139431      ,Be*,234.9401408,-42.76745514,332.9137098,10.09592686,B2Vne               ,684.9940002
HD 128293      ,Be*,219.8819341,-68.2033874,312.726925,-7.41167349,B2Vne               ,687.6334529
HD 199356      ,Be*,313.8463042,40.30002651,82.02753354,-3.125914887,B2IVp               ,687.9956636
HD 88825       ,Be*,153.2547783,-59.91808576,284.2722134,-2.915780753,B5(III)e            ,687.9957711
HD 38010       ,Be*,85.91275025,25.43954667,182.7533513,-2.200181591,B1Vep               ,700.9818055
HD 71072       ,Be*,126.2516526,-12.76478397,235.5645827,14.11466782,B4III/IV            ,701.3217235
HD 154538      ,Be*,257.1315445,-49.46776228,338.9569284,-5.479612083,B3V                 ,704.996085
CD-58 3888     ,Em*,167.6868466,-59.04827528,290.2920896,1.33005616,B5                  ,708.3316769
HD 114981      ,Be*,198.669519,-38.65157023,307.8962723,23.99605935,B5V                 ,712.9935042
HD 155352      ,Be*,258.2516198,-42.63345742,344.9467587,-2.074120802,B2V                 ,720.7692783
* 12 Aur       ,Be*,79.11284347,46.41605958,162.221759,4.773527362,B2Ve                ,721.6558118
HD 67888       ,Be*,122.1568437,-37.68122097,254.5361745,-2.634145688,B3V                 ,721.6651984
HD 174775      ,Em*,283.2394237,-19.66837992,15.44274696,-9.150622157,B5Ve                ,723.995263
HD 66700       ,Em*,120.8772699,-31.68784286,248.9135837,-0.302445644,B5IV/V              ,723.9957499
HD 153102      ,Em*,254.7794831,-38.56601679,346.6017895,2.480686329,B3II/III            ,724.9537055
HD 186456      ,Be*,296.0660559,7.588223187,45.81880585,-8.125076585,B5                  ,727.6649343
HD 191639      ,Be*,302.7919916,-8.842345215,33.96788972,-21.70911886,B2II                ,731.9835269
HD 146463      ,Be*,244.8093122,-54.96170093,329.8604929,-3.348679734,B3Vnne              ,738.3244243
HD 68468       ,Be*,123.0016441,-14.16898617,235.0572499,10.69190238,B4sek               ,738.9945558
HD 13669       ,Be*,33.76086085,55.79322226,134.5499931,-5.181182601,B3IV-V              ,739.9961491
HD 239712      ,Be*,324.2485042,58.14016632,99.53008018,4.398131652,B2Vnne              ,742
HD 203731      ,Be*,320.7131242,40.69724218,85.86452723,-6.703624862,B1Vne               ,744.6655449
CD-60 4575     ,Be*,198.7917039,-60.96686731,305.8083616,1.772287926,B1IIIne             ,745.8729748
HD 235668      ,Be*,329.1876337,51.57604025,97.4935605,-2.454842322,B2                  ,753.3315314
HD 26420       ,Be*,63.1519278,42.11842665,157.9980905,-6.657961491,B3                  ,763.9953574
HD 187851      ,Be*,297.7697376,27.71690934,64.11830942,0.53610472,B2V:nn              ,764.617779
HD 37657       ,Be*,85.58277595,43.05958978,167.5682597,6.788634288,B3Vne               ,765.3027954
HD 49888       ,Em*,102.5337052,-12.58475297,224.0267108,-5.986266915,B5Iab/b             ,765.3241782
HD 218674      ,Be*,347.3197768,49.65061419,106.4698045,-9.927718821,B4V(e)              ,767.5138855
HD 143448      ,Be*,240.9352802,-60.49846475,324.5485183,-5.971404057,B1Ve                ,772.3255025
HD 160095      ,Em*,264.8768837,-33.5530279,355.3869342,-1.320469251,B3V                 ,776.9847776
HD 157099      ,Be*,260.8065255,-42.82922442,345.8665704,-3.722203095,B3Vne               ,778.3237833
HD 13661       ,Be*,33.72127805,54.53172116,134.9327511,-6.384047987,B2IV-Ve             ,779.982618
HD 154243      ,Be*,256.4701892,-36.58819322,348.9885681,2.626583874,B3Vnne              ,785.32356
HD 198512      ,Be*,312.1365434,53.90610315,91.79283395,6.433974013,B1Vnnpe             ,797.5771101
HD 172122      ,Be*,279.8006242,-20.33571323,13.40309693,-6.542043326,B3II                ,798.3241035
BD+71 1238     ,Em*,358.7932155,72.46028479,118.6658498,10.05618015,B5                  ,803
HD 218393      ,Be*,346.7758835,50.19235809,106.3591735,-9.291945219,B3pe+K1III          ,804.3320853
HD 52356       ,Be*,104.9356227,-28.39971479,239.4077577,-10.8660235,B3V(n)              ,804.9963288
HD 118246      ,Be*,203.930521,-6.156128353,322.3911933,55.03374496,B3III               ,805.7901742
HD 216629A     ,Ae*,343.315012,62.145839,109.600426,2.372658,B3IVe               ,808
HD 216629      ,Ae*,343.3150162,62.1458261,109.6004217,2.3726453,B3IVe+A3            ,808
HD 203025      ,Be*,319.3282869,58.61148021,97.99730498,6.530469416,B2IIIe              ,808.9297817
HD 65079       ,Be*,119.266643,2.9508454,217.8723495,15.93386579,B2V(n)(e?)          ,813.3068681
HD 42908       ,Be*,93.4257436,8.712390336,200.8518533,-4.308229399,B2Ve                ,814.9337414
HD 59498       ,Be*,112.3449022,-21.86921677,236.6024311,-1.933334856,B5IV/V              ,815.3236312
HD 198931      ,Be*,313.0404853,44.43460808,84.81600568,-0.014505632,B1Ve                ,817.6954854
HD 156468      ,Be*,259.8506239,-38.00368136,349.4257055,-0.380508902,B2(V)ne             ,818.9832974
HD 73834       ,Be*,129.2195596,-63.62760554,278.7723047,-13.47341666,B5ne                ,820.6652239
HD 91188       ,Be*,157.5933856,-57.07738998,284.6417421,0.698278074,B3III               ,821.6580287
HD 170638      ,Em*,277.9603298,-30.06917335,3.847239721,-9.363097554,B3II/III            ,824.9856019
HD 277301      ,Em*,75.14272671,39.48084155,166.0554573,-1.694265463,B5                  ,832.9863388
HD 236737      ,Em*,21.77460974,57.72180468,127.6959985,-4.819710393,B3                  ,833.3259423
HD 50868       ,Be*,103.8068694,5.434012225,208.5212647,3.31529594,B2Vne               ,851.3107562
HD 175863      ,Be*,283.4362367,60.01787147,90.05758561,22.98484766,B4Ve                ,862.9963069
HD 157127      ,Em*,260.8043801,-38.54893474,349.4036649,-1.306465005,B3(V)nn(e)          ,863.9814648
HD 23982       ,Em*,58.30183597,63.48343933,141.6438657,7.425203098,B5                  ,865.3316178
HD 106881      ,Be*,184.465112,-69.21950714,299.9435272,-6.542810852,B3Vnn               ,868.9957749
HD 198895      ,Be*,312.7916124,55.48874209,93.27371174,7.13082874,B1Ve                ,872.6655662
* 56 Eri       ,Be*,71.0221702,-8.503568824,205.7222104,-32.12326375,B2(V)nne            ,880.6083951
HD 217061      ,Be*,344.1772912,62.62488112,110.168781,2.631123916,B5                  ,884.529702
HD 128588      ,Be*,220.0228185,-59.93135177,316.1547283,0.121255551,B3Vne               ,888.3269879
HD 120958      ,Be*,208.3676142,-39.05720088,315.8948961,22.24802547,B3Vnne              ,889.246655
HD 29557       ,Be*,69.56738999,-24.65855519,223.6540523,-39.36170014,B3Ve                ,892.3258832
HD 44637       ,Be*,95.85283989,15.10178724,196.3370496,0.801265133,OB-e                ,894.8542513
HD 22298       ,Be*,54.50431674,55.17086271,145.2364204,-0.317599624,B2Vne               ,904.9958651
HD 7636        ,Be*,19.35955349,57.63207114,126.4200596,-5.063480692,B2IIIne             ,905.6592628
HD 241344      ,Em*,77.82646376,21.72330422,181.7873839,-10.43235259,B3                  ,909.9850255
HD 193009      ,Be*,304.2007582,32.37983174,71.03089563,-1.680998972,B1V:nnpe            ,909.9883426
BD+60 358      ,Em*,27.41102645,61.05044753,129.9183896,-1.029288713,B5                  ,911.6655009
